# Rg Avg-P(Rg) Err
4.6240000000000006 2.3807220133047333e-86 2.3807220133047336e-86
4.648 1.755773491434401e-85 1.7557734914344008e-85
4.672000000000001 1.2811162911913425e-84 1.2811162911913423e-84
4.696 9.24844931929653e-84 9.24844931929653e-84
4.720000000000001 6.605559751423233e-83 6.605559751423233e-83
4.744 4.6677835001950754e-82 4.6677835001950754e-82
4.768000000000001 3.263414187161234e-81 3.263414187161234e-81
4.792 2.2573252714733554e-80 2.2573252714733557e-80
4.816000000000001 1.5448153829684544e-79 1.544815382968454e-79
4.84 1.0459708115859939e-78 1.0459708115859937e-78
4.864 7.00685496871125e-78 7.00685496871125e-78
4.888 4.6439477006703465e-77 4.643947700670346e-77
4.912 3.045174529156856e-76 3.045174529156856e-76
4.936 1.9755943841161486e-75 1.9755943841161486e-75
4.96 1.2680727047279439e-74 1.2680727047279435e-74
4.984 8.052882382556739e-74 8.052882382556739e-74
5.008 5.059637961593587e-73 5.0596379615935863e-73
5.032 3.1452014721631254e-72 3.145201472163125e-72
5.056 1.934365324942321e-71 1.9343653249423213e-71
5.08 1.1770355713154397e-70 1.1770355713154397e-70
5.104 7.086010662090968e-70 7.086010662090968e-70
5.128 4.2206098142135817e-69 4.220609814213583e-69
5.152 2.487195163499287e-68 2.4871951634992867e-68
5.176 1.4501263752038003e-67 1.4501263752038002e-67
5.2 8.364947862779161e-67 8.36494786277916e-67
5.224 4.773996541076756e-66 4.773996541076756e-66
5.248 2.6956438616756294e-65 2.695643861675629e-65
5.272 1.505929226588135e-64 1.505929226588135e-64
5.296 8.32354490429364e-64 8.323544904293639e-64
5.32 4.55170277964328e-63 4.5517027796432797e-63
5.344 2.462642429276018e-62 2.462642429276018e-62
5.368 1.318228834095806e-61 1.318228834095806e-61
5.392 6.981397071969078e-61 6.981397071969076e-61
5.416 3.658104063019818e-60 3.6581040630198174e-60
5.44 1.8964092265950165e-59 1.8964092265950162e-59
5.464 9.726810585116064e-59 9.726810585116064e-59
5.488 4.9359569686183424e-58 4.935956968618342e-58
5.5120000000000005 2.478191676827105e-57 2.4781916768271045e-57
5.5360000000000005 1.231008825314735e-56 1.231008825314735e-56
5.5600000000000005 6.049929405148506e-56 6.049929405148506e-56
5.5840000000000005 2.9417275327382803e-55 2.9417275327382796e-55
5.6080000000000005 1.4151996600539974e-54 1.4151996600539974e-54
5.632 6.735909717754427e-54 6.735909717754426e-54
5.656 3.172036794286923e-53 3.172036794286923e-53
5.68 1.4778955522101056e-52 1.4778955522101058e-52
5.704 6.812601586240635e-52 6.812601586240633e-52
5.728 3.107034862557698e-51 3.107034862557698e-51
5.752 1.401984834030258e-50 1.401984834030258e-50
5.776 6.258996874935162e-50 6.258996874935161e-50
5.8 2.764588935387759e-49 2.7645889353877587e-49
5.824 1.208150387184766e-48 1.2081503871847663e-48
5.848 5.223675943535847e-48 5.2236759435358475e-48
5.872 2.234582840229109e-47 2.2345828402291094e-47
5.896 9.45762101386358e-47 9.45762101386358e-47
5.92 3.960342908379398e-46 3.960342908379398e-46
5.944 1.64077617927375e-45 1.64077617927375e-45
5.968 6.725611857823288e-45 6.725611857823286e-45
5.992 2.727598317729341e-44 2.7275983177293415e-44
6.016 1.0944487849179312e-43 1.094448784917931e-43
6.04 4.344873724477104e-43 4.344873724477104e-43
6.064 1.7065768194633423e-42 1.7065768194633423e-42
6.088 6.631958296192007e-42 6.631958296192007e-42
6.112 2.5499126151388213e-41 2.549912615138821e-41
6.136 9.700110770043255e-41 9.700110770043255e-41
6.16 3.6508694812618767e-40 3.6508694812618763e-40
6.184 1.3595165043121276e-39 1.3595165043121278e-39
6.208 5.0088910575137093e-39 5.008891057513709e-39
6.232 1.8258621640929773e-38 1.825862164092977e-38
6.256 6.585125966812054e-38 6.585125966812052e-38
6.28 2.3497967013099285e-37 2.349796701309928e-37
6.304 8.295967194910998e-37 8.295967194910996e-37
6.328 2.8978422707262465e-36 2.897842270726246e-36
6.352 1.0015068144046538e-35 1.0015068144046536e-35
6.376 3.424561823406348e-35 3.424561823406347e-35
6.4 1.1585867581902309e-34 1.1585867581902309e-34
6.424 3.878154362067745e-34 3.878154362067746e-34
6.448 1.2843848126287934e-33 1.284384812628793e-33
6.472 4.2086165181802294e-33 4.208616518180228e-33
6.496 1.3644520686153328e-32 1.3644520686153328e-32
6.5200000000000005 4.376758537279131e-32 4.3767585372791315e-32
6.5440000000000005 1.3890661746880127e-31 1.3890661746880125e-31
6.5680000000000005 4.361843015076913e-31 4.361843015076912e-31
6.5920000000000005 1.3551725888536848e-30 1.355172588853685e-30
6.6160000000000005 4.165790636672694e-30 4.1657906366726946e-30
6.64 1.2670079275595836e-29 1.2670079275595838e-29
6.664 3.812774626285267e-29 3.8127746262852677e-29
6.688 1.1352296800589579e-28 1.1352296800589576e-28
6.712 3.34432190034131e-28 3.34432190034131e-28
6.736 9.747991076008708e-28 9.747991076008706e-28
6.76 2.8112917453159375e-27 2.8112917453159368e-27
6.784 8.021979330452966e-27 8.021979330452966e-27
6.808 2.2648691924821754e-26 2.2648691924821748e-26
6.832 6.326913122964076e-26 6.326913122964076e-26
6.856 1.748755273295349e-25 1.7487552732953488e-25
6.88 4.782510661436629e-25 4.782510661436629e-25
6.904 1.294118347283517e-24 1.294118347283517e-24
6.928 3.464851675891851e-24 3.464851675891851e-24
6.952 9.178874970057567e-24 9.178874970057564e-24
6.976 2.40596908705489e-23 2.4059690870548897e-23
7.0 6.24005091335921e-23 6.24005091335921e-23
7.024 1.601347319393078e-22 1.6013473193930779e-22
7.048 4.066157225528706e-22 4.066157225528706e-22
7.072 1.021612134555129e-21 1.021612134555129e-21
7.096 2.539763601193552e-21 2.539763601193552e-21
7.12 6.247527482282867e-21 6.2475274822828664e-21
7.144 1.5206632964674293e-20 1.5206632964674296e-20
7.168 3.6624396403458206e-20 3.6624396403458194e-20
7.192 8.728167508655008e-20 8.728167508655007e-20
7.216 2.0582288837428986e-19 2.0582288837428984e-19
7.24 4.802697611811029e-19 4.802697611811028e-19
7.264 1.1089218789018669e-18 1.1089218789018669e-18
7.288 2.5336355071835054e-18 2.5336355071835054e-18
7.312 5.728202186769036e-18 5.728202186769035e-18
7.336 1.2815256779969524e-17 1.2815256779969524e-17
7.36 2.837102588986143e-17 2.8371025889861417e-17
7.384 6.215352232052816e-17 6.215352232052814e-17
7.408 1.3474228665345917e-16 1.3474228665345914e-16
7.432 2.8906419680474074e-16 2.8906419680474074e-16
7.456 6.136800059989551e-16 6.136800059989551e-16
7.48 1.289294997695261e-15 1.289294997695261e-15
7.5040000000000004 2.6805936653339743e-15 2.6805936653339747e-15
7.5280000000000005 5.515490187016723e-15 5.515490187016722e-15
7.5520000000000005 1.123099276479451e-14 1.1230992764794507e-14
7.5760000000000005 2.2632887113467047e-14 2.2632887113467043e-14
7.6000000000000005 4.513951269624599e-14 4.513951269624596e-14
7.6240000000000006 8.909978796491809e-14 8.909978796491802e-14
7.648000000000001 1.7406348508088542e-13 1.7406348508088522e-13
7.672 3.365570780730337e-13 3.36557078073033e-13
7.696 6.440791872063504e-13 6.44079187206348e-13
7.72 1.2199986331532302e-12 1.219998633153223e-12
7.744 2.2873345594942182e-12 2.287334559494193e-12
7.768 4.244844182444501e-12 4.244844182444422e-12
7.792 7.79772184504462e-12 7.797721845044372e-12
7.816 1.417949237297539e-11 1.4179492372974613e-11
7.84 2.552433856432349e-11 2.5524338564321115e-11
7.864 4.548456339250335e-11 4.548456339249616e-11
7.888 8.024262729585813e-11 8.024262729583666e-11
7.912 1.4015053312074867e-10 1.4015053312068539e-10
7.936 2.423544212848179e-10 2.4235442128463397e-10
7.96 4.149473675672013e-10 4.1494736756667387e-10
7.984 7.034634709550871e-10 7.034634709535952e-10
8.008 1.1809147231977456e-09 1.180914723193583e-09
8.032 1.963122602340454e-09 1.9631226023289983e-09
8.056000000000001 3.2318650365884426e-09 3.2318650365573448e-09
8.08 5.269417044209139e-09 5.2694170441258626e-09
8.104 8.509496924024855e-09 8.50949692380488e-09
8.128 1.3611543772178498e-08 1.3611543771605338e-08
8.152000000000001 2.1567768581789136e-08 2.1567768580316014e-08
8.176 3.3855679474400485e-08 3.3855679470665784e-08
8.2 5.26529355781177e-08 5.2652935568778016e-08
8.224 8.113659808719671e-08 8.113659806415748e-08
8.248000000000001 1.2389529000593125e-07 1.2389528994986976e-07
8.272 1.8749061353132693e-07 1.874906133967647e-07
8.296 2.8121355857823165e-07 2.8121355825963217e-07
8.32 4.180926963396806e-07 4.1809269559557945e-07
8.344000000000001 6.162237808620854e-07 6.1622377914779e-07
8.368 9.005050234885914e-07 9.005050195926862e-07
8.392 1.3048787410998144e-06 1.3048787323660314e-06
8.416 1.8751982124707347e-06 1.8751981931568196e-06
8.440000000000001 2.672858213785757e-06 2.67285817165345e-06
8.464 3.7793485292080916e-06 3.7793484385428974e-06
8.488 5.30191127673186e-06 5.301911084267528e-06
8.512 7.3805044881013145e-06 7.380504085060846e-06
8.536000000000001 1.019629511641257e-05 1.0196294283804172e-05
8.56 1.3981923276316325e-05 1.398192157950975e-05
8.584 1.9033794408800714e-05 1.9033790997423376e-05
8.608 2.5726665082695257e-05 2.57266583165647e-05
8.632000000000001 3.4530788623582734e-05 3.453077538405493e-05
8.656 4.6031875430866775e-05 4.603184987235435e-05
8.68 6.095409585882594e-05 6.0954047179972703e-05
8.704 8.018630656162035e-05 8.018621508734249e-05
8.728 0.00010481160959961616 0.00010481143999979603
8.751999999999999 0.00013614025274321184 0.0001361399424764262
8.776 0.00017574574508130147 0.0001757451850057792
8.8 0.00022550389097477966 0.000225502893321455
8.824 0.000287634235836825 0.00028763248212758196
8.847999999999999 0.0003647431695113529 0.000364740127178949
8.872 0.00045986765010283103 0.00045986244107493017
8.896 0.0005765181988958378 0.0005765093956774122
8.92 0.0007187194845232564 0.0007187047986630149
8.943999999999999 0.0008910464738551133 0.0008910222873094197
8.968 0.0010986537929248209 0.0010986144638295572
8.992 0.0013472956304670248 0.0013472324802037002
9.016 0.0016433332476935812 0.0016432331048410879
9.040000000000001 0.0019937269500577347 0.0019935700877619427
9.064 0.002406009249683332 0.002405766505005621
9.088000000000001 0.002888235920895507 0.0028878647265598092
9.112 0.0034489117463558246 0.0034483507355064424
9.136000000000001 0.004096887989003739 0.004096049750170965
9.16 0.004841229027926349 0.0048399904876938495
9.184000000000001 0.005691046188439845 0.005689235979558969
9.208 0.006655297602914915 0.006652679630669136
9.232 0.00774255398321798 0.0077388062260115255
9.256 0.008960731487967376 0.008955418851331094
9.28 0.010316794439094548 0.01030933421685568
9.304 0.011816432478090635 0.011806050652454646
9.328 0.013463718825786678 0.013449395054856218
9.352 0.01526075856348845 0.015241157262167149
9.376 0.017207338194470366 0.01718072262527544
9.4 0.0193005900403923 0.019264715821990998
9.424 0.021534687105571063 0.02148667106540433
9.448 0.023900585699708606 0.02383674561057923
9.472 0.026385834124429342 0.026301494660805606
9.496 0.028974465881059775 0.028863726208100543
9.52 0.03164699495768946 0.0315024538164072
9.544 0.03438052868053746 0.034192963705900664
9.568 0.03714901035007005 0.036907009610202025
9.592 0.03992359954040135 0.039613144713243335
9.616 0.04267319275982839 0.04227719457927082
9.64 0.045365081436903966 0.04486286853985198
9.664 0.04796573808060595 0.04733249982737414
9.688 0.0504417148379422 0.04964789736770533
9.712 0.05276063113409524 0.051771285246511145
9.736 0.05489221853197347 0.05366630010081959
9.76 0.056809382974326486 0.055299012295283244
9.784 0.05848924214311686 0.0566389330300541
9.808 0.05991410750517444 0.057659964671043513
9.832 0.06107241566056484 0.05834124339630113
9.856 0.061959672286021616 0.05866781133396188
9.88 0.06257953508983033 0.058631044308027284
9.904 0.06294518658016178 0.05822876285928162
9.928 0.06308107940273336 0.05746498601403495
9.952 0.06302494733837478 0.05634936687771977
9.976 0.0628297010824869 0.05489648503531207
10.0 0.06256459011107524 0.053125354807273706
10.024000000000001 0.06231497384208149 0.05105971503824863
10.048 0.062180317123663176 0.04872986502275781
10.072000000000001 0.06227056090627485 0.04617699879699296
10.096 0.0627015897416183 0.04346122067620344
10.120000000000001 0.06359081656079967 0.04067475650854427
10.144 0.06505375305974115 0.03796202794411157
10.168000000000001 0.06720195372034958 0.03554665481394757
10.192 0.0701423170709574 0.0337577040443657
10.216000000000001 0.0739778103702017 0.03302840420003624
10.24 0.07881028465591891 0.033823900376140366
10.264 0.08474661729414408 0.03649916633309361
10.288 0.0919090710129395 0.0412000195306546
10.312 0.10044890865287245 0.04791235991795185
10.336 0.11055931763995615 0.05659515135178796
10.36 0.1224810072051479 0.06727519657639998
10.384 0.13649327673115436 0.08006730797320956
10.408 0.15288602710947433 0.09514111593346143
