# Rg Avg-P(Rg) Err
3.952 2.1651085023660897e-195 0.0
3.976 3.1941561099505324e-194 0.0
4.0 4.673441922732179e-193 0.0
4.024 6.7814382243708756e-192 0.0
4.048 9.759128252294253e-191 0.0
4.072 1.3928505014551996e-189 0.0
4.096 1.9715248550430724e-188 0.0
4.12 2.767606163787669e-187 0.0
4.144 3.85310293527466e-186 0.0
4.168 5.3201175950267246e-185 0.0
4.192 7.285110782007762e-184 0.0
4.216 9.893624099125293e-183 0.0
4.24 1.3325360818915478e-181 0.0
4.264 1.7799462409040488e-180 0.0
4.288 2.3579746948273163e-179 0.0
4.312 3.0979596068054965e-178 0.0
4.336 4.036609411644492e-177 0.0
4.359999999999999 5.216294269683236e-176 0.0
4.384 6.68516032162428e-175 0.0
4.4079999999999995 8.497006873711457e-174 0.0
4.432 1.071086444615392e-172 0.0
4.4559999999999995 1.339021341125397e-171 0.0
4.48 1.6601789718142774e-170 0.0
4.504 2.0413936750190916e-169 0.0
4.5280000000000005 2.489448117431807e-168 0.0
4.552 3.010813575426619e-167 0.0
4.5760000000000005 3.6113462981840575e-166 0.0
4.6 4.2959468848993997e-165 0.0
4.6240000000000006 5.068193427329629e-164 0.0
4.648 5.929963008010683e-163 0.0
4.672000000000001 6.881059697824096e-162 6.886966095514022e-162
4.696 7.918870122924117e-161 7.918763272769998e-161
4.720000000000001 9.038069621340074e-160 9.03806616453708e-160
4.744 1.0230402658309245e-158 1.0230402688140473e-158
4.768000000000001 1.1484560252021774e-157 1.1484560252290906e-157
4.792 1.2786174507907067e-156 1.278617450791015e-156
4.816000000000001 1.4117945927606416e-155 1.411794592760644e-155
4.84 1.545991305390905e-154 1.545991305390905e-154
4.864 1.6789866501270234e-153 1.6789866501270234e-153
4.888 1.8083900921615294e-152 1.8083900921615294e-152
4.912 1.931708951935579e-151 1.9317089519355795e-151
4.936 2.0464257003036652e-150 2.046425700303665e-150
4.96 2.150081903363381e-149 2.1500819033633807e-149
4.984 2.240364997193853e-148 2.2403649971938526e-148
5.008 2.3151936630168808e-147 2.3151936630168808e-147
5.032 2.372797424297969e-146 2.372797424297969e-146
5.056 2.411786224583185e-145 2.4117862245831848e-145
5.08 2.431206171247302e-144 2.4312061712473019e-144
5.104 2.430578324666858e-143 2.430578324666858e-143
5.128 2.4099183306419546e-142 2.409918330641954e-142
5.152 2.3697357724667357e-141 2.3697357724667357e-141
5.176 2.311013280111461e-140 2.3110132801114606e-140
5.2 2.2351665922385927e-139 2.2351665922385927e-139
5.224 2.1439878373040568e-138 2.1439878373040568e-138
5.248 2.0395752056202367e-137 2.0395752056202364e-137
5.272 1.924252862521162e-136 1.924252862521162e-136
5.296 1.8004853609727816e-135 1.800485360972782e-135
5.32 1.6707909306035608e-134 1.6707909306035603e-134
5.344 1.5376578534782235e-133 1.5376578534782235e-133
5.368 1.4034677119393897e-132 1.4034677119393897e-132
5.392 1.270428656259681e-131 1.270428656259681e-131
5.416 1.1405210494310378e-130 1.1405210494310376e-130
5.44 1.0154569705521909e-129 1.0154569705521907e-129
5.464 8.966541657890055e-129 8.966541657890053e-129
5.488 7.852241908606027e-128 7.852241908606027e-128
5.5120000000000005 6.819737458590487e-127 6.819737458590487e-127
5.5360000000000005 5.874176029143415e-126 5.8741760291434155e-126
5.5600000000000005 5.018010952711505e-125 5.018010952711505e-125
5.5840000000000005 4.251298823825794e-124 4.251298823825794e-124
5.6080000000000005 3.572046244576391e-123 3.57204624457639e-123
5.632 2.976582738850633e-122 2.9765827388506323e-122
5.656 2.4599389309560208e-121 2.45993893095602e-121
5.68 2.016212059711065e-120 2.016212059711065e-120
5.704 1.6389044789523916e-119 1.6389044789523913e-119
5.728 1.3212246403332612e-118 1.321224640333261e-118
5.752 1.0563438613446672e-117 1.0563438613446672e-117
5.776 8.376057028412861e-117 8.376057028412862e-117
5.8 6.586878337302153e-116 6.586878337302152e-116
5.824 5.1371873204680575e-115 5.137187320468058e-115
5.848 3.973534122174986e-114 3.9735341221749856e-114
5.872 3.0481358468734556e-113 3.048135846873455e-113
5.896 2.3189829713990224e-112 2.3189829713990224e-112
5.92 1.7497125795562803e-111 1.74971257955628e-111
5.944 1.3093080169164191e-110 1.3093080169164193e-110
5.968 9.716792846368733e-110 9.71679284636873e-110
5.992 7.151713562227158e-109 7.151713562227159e-109
6.016 5.220395163478615e-108 5.220395163478614e-108
6.04 3.77922538523103e-107 3.77922538523103e-107
6.064 2.713366166757009e-106 2.7133661667570084e-106
6.088 1.932058476275029e-105 1.932058476275029e-105
6.112 1.364389691386881e-104 1.364389691386881e-104
6.136 9.555709687842543e-104 9.555709687842545e-104
6.16 6.637337080197386e-103 6.637337080197387e-103
6.184 4.572263665536292e-102 4.572263665536293e-102
6.208 3.1237421793397215e-101 3.123742179339721e-101
6.232 2.1165360898837957e-100 2.116536089883795e-100
6.256 1.4222725084380229e-99 1.4222725084380225e-99
6.28 9.478653659593061e-99 9.478653659593061e-99
6.304 6.26494494464131e-98 6.264944944641309e-98
6.328 4.1067161990281287e-97 4.1067161990281287e-97
6.352 2.669801776056047e-96 2.6698017760560475e-96
6.376 1.7213544423773707e-95 1.7213544423773707e-95
6.4 1.1006991238629168e-94 1.100699123862917e-94
6.424 6.980299158933455e-94 6.980299158933453e-94
6.448 4.390223411238324e-93 4.390223411238324e-93
6.472 2.7384603068780363e-92 2.738460306878036e-92
6.496 1.6940787609132068e-91 1.6940787609132065e-91
6.5200000000000005 1.039365123268381e-90 1.0393651232683806e-90
6.5440000000000005 6.324266383794631e-90 6.324266383794629e-90
6.5680000000000005 3.8164512765527e-89 3.816451276552699e-89
6.5920000000000005 2.2841095235532263e-88 2.2841095235532258e-88
6.6160000000000005 1.3557569678860493e-87 1.3557569678860493e-87
6.64 7.980949623227019e-87 7.980949623227019e-87
6.664 4.659455679096527e-86 4.659455679096527e-86
6.688 2.697887160809454e-85 2.697887160809453e-85
6.712 1.549246236537019e-84 1.5492462365370188e-84
6.736 8.823182942650164e-84 8.82318294265016e-84
6.76 4.983544951584754e-83 4.983544951584753e-83
6.784 2.791642717503132e-82 2.7916427175031317e-82
6.808 1.5509212630065585e-81 1.5509212630065582e-81
6.832 8.545317965273688e-81 8.545317965273688e-81
6.856 4.669553666101922e-80 4.669553666101922e-80
6.88 2.5306453644492014e-79 2.5306453644492008e-79
6.904 1.3601790789484427e-78 1.3601790789484424e-78
6.928 7.250532243834871e-78 7.250532243834871e-78
6.952 3.833123362664308e-77 3.833123362664307e-77
6.976 2.009763399561604e-76 2.0097633995616038e-76
7.0 1.0450724941219378e-75 1.0450724941219377e-75
7.024 5.38961040828633e-75 5.38961040828633e-75
7.048 2.7566264912182513e-74 2.756626491218251e-74
7.072 1.3983252604072924e-73 1.3983252604072924e-73
7.096 7.034744649492888e-73 7.034744649492888e-73
7.12 3.509930071457561e-72 3.509930071457561e-72
7.144 1.7368356293474982e-71 1.7368356293474982e-71
7.168 8.523721383629992e-71 8.523721383629992e-71
7.192 4.1486823683817374e-70 4.1486823683817374e-70
7.216 2.0026344732126962e-69 2.0026344732126962e-69
7.24 9.58746745941272e-69 9.58746745941272e-69
7.264 4.552154415024776e-68 4.552154415024777e-68
7.288 2.1435868961144273e-67 2.143586896114427e-67
7.312 1.0010975275859314e-66 1.0010975275859314e-66
7.336 4.6368498929312103e-66 4.6368498929312114e-66
7.36 2.1300078651970175e-65 2.130007865197017e-65
7.384 9.704006368160187e-65 9.704006368160186e-65
7.408 4.3846285918568984e-64 4.384628591856899e-64
7.432 1.9648373479587166e-63 1.964837347958717e-63
7.456 8.732380237433552e-63 8.73238023743355e-63
7.48 3.849028279603037e-62 3.849028279603037e-62
7.5040000000000004 1.682605061000096e-61 1.682605061000096e-61
7.5280000000000005 7.29501356889679e-61 7.29501356889679e-61
7.5520000000000005 3.1367726693885394e-60 3.1367726693885394e-60
7.5760000000000005 1.3376830478677111e-59 1.3376830478677113e-59
7.6000000000000005 5.657660092613285e-59 5.657660092613284e-59
7.6240000000000006 2.3731989599538228e-58 2.3731989599538224e-58
7.648000000000001 9.872913672123951e-58 9.872913672123948e-58
7.672 4.0735274922419545e-57 4.0735274922419545e-57
7.696 1.6669029690796824e-56 1.666902969079682e-56
7.72 6.764949904818266e-56 6.764949904818267e-56
7.744 2.7229125386806412e-55 2.7229125386806415e-55
7.768 1.0869708369158901e-54 1.0869708369158901e-54
7.792 4.303456761516955e-54 4.3034567615169546e-54
7.816 1.6897895111684131e-53 1.689789511168413e-53
7.84 6.580572236587526e-53 6.580572236587525e-53
7.864 2.541621481882509e-52 2.5416214818825087e-52
7.888 9.735864656159087e-52 9.735864656159088e-52
7.912 3.698749475468588e-51 3.698749475468588e-51
7.936 1.3936455586053025e-50 1.3936455586053023e-50
7.96 5.207953368826515e-50 5.207953368826514e-50
7.984 1.9301874301502806e-49 1.9301874301502806e-49
8.008 7.09495820718943e-49 7.09495820718943e-49
8.032 2.5865357677814408e-48 2.5865357677814405e-48
8.056000000000001 9.352027110919756e-48 9.352027110919754e-48
8.08 3.3536056252310477e-47 3.3536056252310477e-47
8.104 1.1927173452705745e-46 1.1927173452705743e-46
8.128 4.207099198487434e-46 4.207099198487434e-46
8.152000000000001 1.4717973201479162e-45 1.471797320147916e-45
8.176 5.106621592756574e-45 5.1066215927565734e-45
8.2 1.7572766778183354e-44 1.7572766778183354e-44
8.224 5.997466150375815e-44 5.997466150375813e-44
8.248000000000001 2.030098271414812e-43 2.030098271414812e-43
8.272 6.8153525448394e-43 6.815352544839399e-43
8.296 2.2692483171653013e-42 2.2692483171653013e-42
8.32 7.493739342701271e-42 7.493739342701271e-42
8.344000000000001 2.454361058768203e-41 2.4543610587682026e-41
8.368 7.972638694133041e-41 7.972638694133039e-41
8.392 2.5685613421340643e-40 2.568561342134064e-40
8.416 8.207341506635916e-40 8.207341506635916e-40
8.440000000000001 2.6009994435069338e-39 2.6009994435069332e-39
8.464 8.175300126111703e-39 8.175300126111702e-39
8.488 2.5485511477619144e-38 2.5485511477619144e-38
8.512 7.879700848193416e-38 7.879700848193416e-38
